Year_name,,Elec_demand,Heat_demand
2021,485,11221.2,4011.210158289568
2021,486,11316.01,4245.85490912011
2021,487,11612.71,4799.133861948492
2021,488,11681.38,5023.582081391867
2021,489,11897.67,4764.741148281991
2021,490,12002.07,4518.366520119841
2021,491,12050.03,4327.755218928159
2021,492,11997.33,4180.143342619419
2021,493,11941.13,4086.285442453362
2021,494,11951.68,4015.892017121119
2021,495,12321.88,3966.356044495391
2021,496,12639.89,3950.11859490949
2021,497,12657.51,4003.182093131645
2021,498,12715.05,4070.642458953886
2021,499,12542.88,4173.299537649948
2021,500,12124.93,4186.987148004289
2021,501,12425.18,4096.062306932835
2021,502,12281.97,4031.535000620595
2021,503,11917.31,3982.209672721545
2021,504,11577.99,3877.752774656999
2021,505,11386.79,3813.953793617521
2021,506,11354.54,3810.182135962476
2021,507,11472.17,3850.519555771639
2021,508,11875.78,3910.994670188577
2021,509,12810.1,4011.210158289568
2021,510,13163.11,4245.85490912011
2021,511,13424.29,4799.133861948492
2021,512,13236.03,5023.582081391867
2021,513,13154.43,4764.741148281991
2021,514,13284.23,4518.366520119841
2021,515,13327.29,4327.755218928159
2021,516,13226.67,4180.143342619419
2021,517,13206.97,4086.285442453362
2021,518,13258.81,4015.892017121119
2021,519,13429.27,3966.356044495391
2021,520,13619.08,3950.11859490949
2021,521,13593.57,4003.182093131645
2021,522,13606.98,4070.642458953886
2021,523,13443.93,4173.299537649948
2021,524,12949.56,4186.987148004289
2021,525,13065.0,4096.062306932835
2021,526,12862.52,4031.535000620595
2021,527,12294.38,3982.209672721545
2021,528,12061.15,3877.752774656999
2021,529,11896.9,3813.953793617521
2021,530,11940.54,3810.182135962476
2021,531,12068.87,3850.519555771639
2021,532,12476.74,3910.994670188577
2021,533,13368.67,4011.210158289568
2021,534,13647.86,4245.85490912011
2021,535,13810.54,4799.133861948492
2021,536,13654.9,5023.582081391867
2021,537,13586.96,4764.741148281991
2021,538,13600.99,4518.366520119841
2021,539,13574.5,4327.755218928159
2021,540,13502.89,4180.143342619419
2021,541,13436.13,4086.285442453362
2021,542,13405.13,4015.892017121119
2021,543,13510.76,3966.356044495391
2021,544,13645.28,3950.11859490949
2021,545,13578.77,4003.182093131645
2021,546,13593.67,4070.642458953886
2021,547,13404.83,4173.299537649948
2021,548,12778.68,4186.987148004289
2021,549,12717.06,4096.062306932835
2021,550,12393.44,4031.535000620595
2021,551,11897.02,3982.209672721545
2021,552,11541.43,3877.752774656999
